Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD
Date,,,,,,,,,,,,,,,,,,
2017-12-31,,,14156.400390625,,,14156.400390625,,,14377.400390625,,,12755.599609375,,,12897.7001953125,,,12136299520
2018-01-01,4060.428955078125,3119.60986328125,13657.2001953125,4380.0,3640.0,13657.2001953125,4380.0,3640.0,14112.2001953125,4380.0,3640.0,13154.7001953125,4380.0,3640.0,14112.2001953125,0.0,0.0,10291200000
2018-01-02,4060.428955078125,3111.03955078125,14982.099609375,4380.0,3630.0,14982.099609375,4505.0,3720.0,15444.599609375,4365.0,3610.0,13163.599609375,4380.0,3690.0,13625.0,82303500.0,91127100.0,16846600192
2018-01-03,4060.428955078125,3093.89892578125,15201.0,4380.0,3610.0,15201.0,4390.0,3630.0,15572.7998046875,4265.0,3560.0,14844.5,4385.0,3630.0,14978.2001953125,68214000.0,70148700.0,16871900160
2018-01-04,4120.68701171875,3042.4765625,15599.2001953125,4445.0,3550.0,15599.2001953125,4445.0,3610.0,15739.7001953125,4380.0,3460.0,14522.2001953125,4380.0,3610.0,15270.7001953125,76567000.0,156406300.0,21783199744
2018-01-05,4125.322265625,3076.758056640625,17429.5,4450.0,3590.0,17429.5,4480.0,3590.0,17705.19921875,4435.0,3520.0,15202.7998046875,4460.0,3550.0,15477.2001953125,65268000.0,87095600.0,23840899072
2018-01-06,,,17527.0,,,17527.0,,,17712.400390625,,,16764.599609375,,,17462.099609375,,,18314600448
2018-01-07,,,16477.599609375,,,16477.599609375,,,17579.599609375,,,16087.7001953125,,,17527.30078125,,,15866000384
2018-01-08,4143.86328125,3076.758056640625,15170.099609375,4470.0,3590.0,15170.099609375,4515.0,3590.0,16537.900390625,4445.0,3560.0,14208.2001953125,4450.0,3590.0,16476.19921875,57928000.0,54559100.0,18413899776
2018-01-09,4176.30908203125,3059.617431640625,14595.400390625,4505.0,3570.0,14595.400390625,4510.0,3600.0,15497.5,4490.0,3530.0,14424.0,4500.0,3600.0,15123.7001953125,61213000.0,90606700.0,16659999744
2018-01-10,4162.40380859375,3025.336181640625,14973.2998046875,4490.0,3530.0,14973.2998046875,4545.0,3590.0,14973.2998046875,4465.0,3500.0,13691.2001953125,4505.0,3580.0,14588.5,47292000.0,116409100.0,18500800512
2018-01-11,4208.75634765625,3033.90625,13405.7998046875,4540.0,3540.0,13405.7998046875,4540.0,3540.0,15018.7998046875,4460.0,3480.0,13105.900390625,4490.0,3540.0,14968.2001953125,57569000.0,114378900.0,16534099968
2018-01-12,4157.7685546875,3033.90625,13980.599609375,4485.0,3540.0,13980.599609375,4545.0,3580.0,14229.900390625,4465.0,3500.0,13158.099609375,4540.0,3550.0,13453.900390625,66590500.0,133445300.0,12065699840
2018-01-13,,,14360.2001953125,,,14360.2001953125,,,14659.5,,,13952.400390625,,,13952.400390625,,,12763599872
2018-01-14,,,13772.0,,,13772.0,,,14511.7998046875,,,13268.0,,,14370.7998046875,,,11084099584
2018-01-15,4167.0390625,3042.4765625,13819.7998046875,4495.0,3550.0,13819.7998046875,4500.0,3570.0,14445.5,4460.0,3540.0,13641.7001953125,4490.0,3540.0,13767.2998046875,41875000.0,86615800.0,12750799872
2018-01-16,4190.21533203125,3093.89892578125,11490.5,4520.0,3610.0,11490.5,4535.0,3610.0,13843.099609375,4490.0,3530.0,10194.900390625,4490.0,3530.0,13836.099609375,50055000.0,92106400.0,18853799936
